Nom Reg,Code Reg,Comuna,Code comuna,Distrito,N Constituyentes,N de Candidatos,Pob Comuna,Pob Distrito,ppm
Ñuble,16,Quirihue,16201,19,5,40,12.192,881.343,6
Ñuble,16,Yungay,16109,19,5,40,18.596,881.343,6
Ñuble,16,San Ignacio,16108,19,5,40,16.624,881.343,6
Ñuble,16,Quillon,16107,19,5,40,18.777,881.343,6
Ñuble,16,Pinto,16106,19,5,40,11.880,881.343,6
Ñuble,16,Pemuco,16105,19,5,40,8.639,881.343,6
Ñuble,16,El Carmen,16104,19,5,40,12.334,881.343,6
Ñuble,16,Chillan Viejo,16103,19,5,40,33.827,881.343,6
Ñuble,16,Bulnes,16102,19,5,40,22.607,881.343,6
Ñuble,16,Chillan,16101,19,5,40,198.624,881.343,6
Biobío,8,Hualpen,8112,20,8,60,97.273,1.018.040,8
Biobío,8,Tome,8111,20,8,60,58.729,1.018.040,8
Biobío,8,Talcahuano,8110,20,8,60,158.345,1.018.040,8
Biobío,8,Santa Juana,8109,20,8,60,14.779,1.018.040,8
Biobío,8,San Pedro de la Paz,8108,20,8,60,145.906,1.018.040,8
Biobío,8,Penco,8107,20,8,60,49.865,1.018.040,8
Biobío,8,Hualqui,8105,20,8,60,26.201,1.018.040,8
Biobío,8,Florida,8104,20,8,60,11.841,1.018.040,8
Biobío,8,Chiguayante,8103,20,8,60,91.180,1.018.040,8
Biobío,8,Coronel,8102,20,8,60,125.829,1.018.040,8
Biobío,8,Concepcion,8101,20,8,60,238.092,1.018.040,8
Biobío,8,Alto Biobio,8314,21,5,39,6.775,645.656,8
Biobío,8,Yumbel,8313,21,5,39,22.132,645.656,8
Biobío,8,Tucapel,8312,21,5,39,15.205,645.656,8
Biobío,8,Santa Barbara,8311,21,5,39,14.592,645.656,8
Biobío,8,San Rosendo,8310,21,5,39,3.611,645.656,8
Biobío,8,Quilleco,8309,21,5,39,10.032,645.656,8
Biobío,8,Quilaco,8308,21,5,39,4.179,645.656,8
Biobío,8,Negrete,8307,21,5,39,10.429,645.656,8
Biobío,8,Nacimiento,8306,21,5,39,27.944,645.656,8
Biobío,8,Mulchen,8305,21,5,39,31.041,645.656,8
Biobío,8,Laja,8304,21,5,39,23.873,645.656,8
Biobío,8,Cabrero,8303,21,5,39,30.725,645.656,8
Biobío,8,Antuco,8302,21,5,39,4.306,645.656,8
Biobío,8,Los Angeles,8301,21,5,39,218.515,645.656,8
Biobío,8,Tirua,8207,21,5,39,11.019,645.656,8
Biobío,8,Los Alamos,8206,21,5,39,22.524,645.656,8
Biobío,8,Curanilahue,8205,21,5,39,33.892,645.656,8
Biobío,8,Contulmo,8204,21,5,39,6.330,645.656,8
Biobío,8,Cañete,8203,21,5,39,37.003,645.656,8
